param_n_estimators,param_max_depth,param_learning_rate,mean_test_score,std_test_score,mean_fit_time
400,5,0.1,0.8525972752073842,0.009942001492978386,18.049837430318195
400,6,0.1,0.8519819569158603,0.016977098459687694,21.63723913828532
500,5,0.1,0.8510577699239666,0.0146301205585308,26.687516927719116
500,6,0.05,0.850503025236588,0.017230145923343855,34.19852034250895
500,5,0.1,0.8504936680874305,0.011420712027408653,31.65581512451172
500,6,0.05,0.8503481074371959,0.015373069099831573,33.903950929641724
400,4,0.1,0.8502834724395418,0.011737839255002942,20.58389671643575
500,4,0.05,0.8460236436567558,0.01298030606193375,28.041206518809002
400,4,0.05,0.8403783963537066,0.01197264880472648,15.970582644144693
400,4,0.05,0.8377036394421714,0.011407336785115688,18.624640544255573
